good	room,9925
good	location,9442
great	location,9139
great	room,8228
good	value,8160
nice	room,7162
free	internet,5707
great	value,5425
nice	location,5222
lovely	room,5123
great	time,4689
nice	size,4322
great	staff,4320
friendly	staff,4203
helpful	staff,3947
clean	room,3585
top	floor,3058
good	time,2910
good	size,2864
wonderful	location,2848
perfect	location,2646
wonderful	room,2527
wonderful	time,2520
excellent	staff,2454
comfortable	room,2416
comfortable	beds,2398
comfortable	bed,2352
superior	room,2195
nice	touch,2150
fresh	fruit,2078
reasonable	value,1991
good	quality,1987
good	restaurants,1938
perfect	room,1824
great	breakfast,1734
excellent	room,1664
complimentary	breakfast,1649
quiet	location,1615
comfortable	time,1555
enough	room,1540
good	selection,1507
best	time,1504
terrific	staff,1496
nice	time,1477
top	bar,1418
beautiful	room,1296
enough	space,1274
good	breakfast,1274
nice	touches,1245
nice	staff,1230
quiet	room,1218
great	restaurants,1218
excellent	location,1212
top	notch,1143
modern	decor,1139
bad	time,1130
good	reviews,1125
spacious	room,1079
best	breakfast,1078
good	staff,1045
nice	hotels,1034
perfect	size,1027
easy	location,980
modern	room,964
good	things,947
good	eat,933
excellent	value,929
excellent	restaurants,924
bright	colors,908
friendly	room,894
positive	reviews,871
good	hotels,862
hot	water,854
free	drink,846
fresh	air,799
enjoyable	time,788
amazing	time,782
best	staff,782
exceptional	staff,780
free	aveda,775
reasonable	size,772
good	use,756
convenient	location,741
nice	breakfast,735
amazing	staff,729
attentive	staff,712
available	space,712
nice	restaurants,703
amazing	location,691
spotless	room,680
hot	drinks,679
great	size,677
positive	note,676
nice	atmosphere,676
wonderful	job,667
loud	heater,658
safe	walking,658
trendy	boutique,658
tough	day,658
best	bagels,658
honored	guest,658
warm	food,658
funky	decor,658
comfortable	linens,658
great	sites,658
super	comfy,654
awful	room,636
nice	day,635
excellent	food,634
free	wi-fi,630
great	find,629
free	room,620
nice	lobby,615
great	job,607
popular	tourist,602
perfect	time,596
top	terrace,595
worst	room,570
strong	breakfast,565
inexpensive	room,559
good	prices,558
cold	cuts,557
fabulous	room,550
unpleasant	time,550
friendly	doorman,547
easy	access,542
nice	shower,531
trendy	room,529
great	views,527
negative	reviews,527
charming	room,525
pleasant	time,521
nice	linens,512
excellent	time,508
great	food,506
decent	workout,502
helpful	front,498
happy	people,496
great	spot,495
negative	time,492
good	nights,490
sour	taste,489
cold	meats,482
amazing	views,481
panoramic	location,477
decent	selection,475
good	sized,475
lovely	location,469
free	upgrade,462
best	travel,454
delicious	breakfast,448
good	food,442
hospitable	staff,438
incredible	location,432
favorite	room,432
warm	welcome,429
fabulous	location,426
lovely	staff,422
cold	air,415
good	part,412
unusual	room,411
free	buffet,410
wonderful	trip,409
romantic	getaway,404
good	job,404
poor	quality,403
amazing	pantheon,402
expensive	room,399
great	recommendations,394
good	shower,393
reasonable	rates,392
wonderful	weekend,387
lively	room,382
bad	taste,378
great	touch,377
fun	room,377
free	use,375
nice	rooftop,374
nice	boutique,374
friendly	people,374
bad	staff,372
pleasant	surprise,369
fabulous	value,369
decent	value,369
comfortable	king,368
better	food,365
clean	bathrooms,364
cool	air,364
great	advice,364
upgraded	room,362
great	tips,361
seasoned	travellers,359
good	mood,358
smallish	room,358
fine	room,355
good	shape,354
good	review,354
finest	hotels,352
fresh	breakfast,351
comfortable	furniture,351
fresh	pastries,350
efficient	staff,350
super	nice,350
better	deals,346
nice	fitness,346
excellent	selection,346
wonderful	boutique,345
nightmare	flight,344
expensive	breakfast,344
positive	side,341
free	weights,339
good	people,338
nice	clean,338
excellent	internet,334
nice	comfy,332
nice	setting,332
better	choices,332
enough	water,332
excellent	variety,332
complimentary	computer,332
pretty	sure,332
bad	impression,332
free	computers,331
reasonable	location,330
best	customer,330
modern	look,330
wonderful	visit,330
modern	time,330
great	menu,330
excellent	breakfasts,330
easiest	location,330
nice	bed,330
nice	glass,330
smiling	staff,330
easy	chair,330
great	bakery,329
hectic	travel,329
good	fitness,329
limited	menu,329
stylish	bolt,329
good	dusting,329
soft	glow,329
decent	in-house,329
enough	desk,329
ineffective	air,329
modern	touch,329
great	aunt,329
great	bar,329
honest	person,329
fine	print,329
expensive	fare,329
modern	appearance,329
bad	percentage,329
cozy	haven,329
top	balcony,329
popular	sights,329
enough	cocktail,329
incredible	places,329
significant	savings,329
bright	look,329
friendly	spot,329
great	convenient,329
stylish	lobby,329
cozy	bar,329
ample	size,329
warm	lighting,329
comfortable	elegance,329
confident	gem,329
good	working/staying,329
modern	gym,329
sweet	value,329
nice	word,329
nice	meats,329
helpful	-seems,329
beautiful	colors,329
comfortable	kingsize,329
noisy	new,329
sturdy	umbrella,329
fancy	room,329
sharp	decor,329
affordable	cab,329
cozy	mezzanine,329
free	apple,329
handy	umbrella,329
friendly	servicer,329
safe	sleeping,329
poor	resolution,329
welcome	treat,329
pleasant	mezzanine,329
wonderful	tuis,329
modern	colors,329
delicious	selection,329
beautiful	weekend,329
trendy	design,329
important	places,329
helpful	concierge,329
modern	flair,329
beautiful	art,329
better	terms,329
good	'friend,329
vibrant	colours,329
perfect	pantry,329
smoke	detector,329
enough	machines,329
calm	manhattan,329
good	sellection,329
strong	stream,329
over-priced	bottle,329
perfect	hotspot,329
enough	floor,329
efficient	manner,329
clean	staff,329
beautiful	look,329
best	salad,329
great	tip,329
cheesy	move,329
radiant	heat,329
fantastic	food,329
steady	flow,329
top-notch	staff,329
delayed	flight,329
healthy	options,329
nice	buffet,329
terrible	impression,329
exciting	time,329
better	doormen,329
ridiculous	staff,329
friendly	dand,329
super	busy,329
available	laptops,329
excellent	bar,329
low-priced	breakfast,329
false	explanation,329
worse	blizzard,329
colorful	furnishings,329
stable	heat,329
upbeat	attitude,329
trendy	shops,329
sucky	pressure,329
tidy	boutique,329
colorful	accomodations,329
nice	pastries,329
worth	re-booking,329
decent	shape,329
stylish	boutique,329
great	launching,329
attractive	decor,329
nice	sheets,329
lowly	bucket,329
soft	water,329
convenient	rest,329
nice	neighborhood,329
nice	flair,329
delicious	portion,329
good	my,329
great	workout,329
good	cheer,329
nice	gift,329
upscale	eat,329
clean	gym,329
comfortable	queen,329
beautiful	architecture,329
cheap	family,329
great	music,329
smartest	room,329
limited	dinner,329
hot	spots,329
classic	example,329
nicer	mom,329
favorite	dining,329
cold	location,329
chic	eat,329
quaint	room,329
slow	tuesday,329
pleased	overall,329
competitive	rates,329
splendid	corner,329
modest	value,329
quieter	part,329
loud	banging,329
quaint	modern,329
better	job,329
famous	location,329
useless	items,329
good	day/night,329
modern	new,329
complimentary	parking,329
over-priced	toiletries,329
convenient	extra,329
good	representation,329
sufficient	room,329
great	impression,329
good	example,329
welcome	treats,329
good	w/,329
good	aircon,329
phenomenal	staff,329
good	cost-benefit,329
great	vibes,329
luckiest	people,329
wrong	dates,329
nice	offer,329
lovely	lounge,329
lovely	things,329
intimate	nature,329
nice	clerk,329
lacked	bars,329
impressive	part,329
superior	guestroom,329
nice	towels,329
best	spa,329
fancy	shower,329
ideal	property,329
nice	layout,329
convenient	base,329
good	water-pressure,329
expensive	e,329
hectic	week,329
strong	colors,329
happy	accident,329
dirty	hair,329
nice	breakfasts,329
worst	advice,329
cheaper	rates,329
pleasant	decoration,329
detachable	shower,329
perfect	option,329
super	location,329
trendy	places,329
unsatisfactory	interaction,329
attentive	wait,329
cool	apartment,329
wonderful	eourpean,329
favorite	new,329
nice	linen,329
courteous	doorman,329
unknown	reasons,329
enough	delis,329
tough	noise,329
lovely	bar,329
warm	smile,329
quiet	nevertheless,329
bright	upholstery,329
easy	transport,329
satisfactory	number,329
personalized	response,329
disappointing	hotels,329
unforgettable	one,329
attractive	room,329
qualified	review,329
friendly	cab,329
courteous	customer,329
free	fo,329
worse	quality,329
fantastic	bagels,329
cute	boutique,329
nice	equipment,329
chic	decor,328
generous	value,325
positive	time,325
hot	day,324
lovely	addition,322
sweet	potato,322
wonderful	views,321
bad	hotels,321
excellent	breakfast,321
decent	drinks,321
great	stash,319
quieter	street,319
brisk	location,319
reasonable	temperature,319
soft	beds,319
hot	cider,319
great	use,318
nice	blend,315
smallish	gym,315
exciting	location,315
nice	spread,313
great	places,309
nice	nyc,309
great	bed,307
complimentary	bottle,305
hectic	day,303
great	reviews,303
interesting	choices,303
healthy	food,303
unbeatable	location,302
wrong	type,301
enough	options,301
great	feature,300
complimentary	cocktails,300
favorite	hotels,299
interesting	places,299
adequate	size,299
prompt	doormen,299
unsuspecting	tourists,296
quiet	street,295
good	variety,294
worth	mentioning,292
cool	new,291
fresh	blueberries,291
clean	lines,291
reasonable	prices,290
friendly	greetings,288
wonderful	restaurants,287
good	choices,287
beautiful	travel,286
comfortable	walking,278
spectacular	location,273
fantastic	nights,272
fabulous	views,272
cold	buffet,270
worst	part,270
incredible	pantheon,267
amazing	travel,267
nice	bonus,266
fresh	towels,265
courteous	doormen,264
fair	amount,263
smallish	boutique,261
expensive	fish,261
lovely	places,261
warm	weekend,259
top	floors,259
modern	contempory,259
excellent	english,258
favorite	places,255
excellent	eat,255
right	direction,254
cool	location,252
right	boxes,252
good	day,252
good	meals,251
funky	room,250
nice	relaxed,250
cool	accent,250
good	shopping,250
heavenly	beds,247
magnificent	location,246
stunning	views,246
great	water,245
cheaper	hotels,241
chic	room,241
overpriced	dump,239
great	spots,239
cheap	mockup,239
rude	lady,239
lovely	lobby,239
bad	experiences,238
nice	driver,237
challenging	room,237
outstanding	design,237
fancy	aveda,236
promised	space,236
great	products,232
helpful	people,232
friendly	welcoming,232
cheerful	colors,232
colorful	quilt,232
creative	use,231
ample	space,231
useful	toiletries,231
amazing	breakfasts,231
snobby	room,230
wondrous	travel,229
fresh	arrangement,229
nice	part,229
hot	bath,229
good	number,228
fantastic	shower,228
good	views,227
good	point,226
wonderful	alternatives,226
good	colors,224
hot	food,224
free	pass,224
good	delis,224
unexpected	delight,224
good	machines,224
great	eats,224
tiring	day,223
beautiful	location,223
clean	look,223
nice	bath,222
modern	colorful,222
brisk	walking,222
cozy	lobby,222
good	bagel,222
great	tv,219
nice	quilts,219
nice	sink,219
bargain	rates,219
mediocre	water,219
quiet	spot,218
constructive	comment,218
slow	closing,218
beautiful	views,218
fantastic	tour,217
safe	whilst,216
rip-off	value,216
endearing	feature,216
free	breakfast/hot,216
adequate	amount,216
false	advertising,215
perfect	weight,215
nice	effect,215
bright	quilts,215
good	english,213
stylish	blond,212
fresh	bread,210
beautiful	piazza,208
poor	design,206
modern	studios,206
excellent	midtown,206
excellent	layout,206
worst	feature,206
comfy	couches,205
perfect	spot,204
ideal	location,204
nice	cotton,202
cozy	boutique,202
intimacy	kit,202
great	blanket,202
nice	weekend,202
loud	garbage,200
wrong	location,200
dishonest	practice,200
lovely	job,200
impersonal	environment,198
interesting	color,198
ridiculous	excuse,198
worst	excuse,198
shady	reservations,198
good	recommendations,197
free	access,197
dirty	spots,197
bad	point,197
complementary	bottle,197
free	cappuccino,197
uncomfortable	knowing,197
free	business,196
better	accommodations,195
complimentary	time,194
great	eat,194
great	loss,193
free	library,193
friendly	front,193
chic	colour,193
modern	clean,191
fast	cool,191
pure	joy,188
hot	chocolate,188
good	internet,186
great	travel,183
nice	items,183
good	map,182
beautiful	sight,181
good	tourist,180
easy	solution,180
useful	tips,180
satisfactory	levels,180
amazing	roof,179
gentle	hustle,179
perfect	temperature,179
lovely	man,179
best	ice-creams,179
classic	breakfast,179
great	tourist,178
modern	baths,178
best	gelato,177
spectacular	views,177
invaluable	help,177
faultless	tripadvisor,177
perfect	cup,177
excellent	roof,176
great	espresso,176
memorable	trip,176
excellent	sound,176
soft	music,175
pleasant	bar,175
wonderful	memory,175
great	atmosphere,174
excellent	shape,174
affordable	prices,174
fabulous	recommendations,174
memorable	visit,173
top	quality,173
beautiful	square,173
important	time,170
elegant	building,170
fine	property,170
excellent	quality,168
complimentary	bottles,166
cozy	room,164
fresh	juices,164
superior	double,164
important	sites,163
best	bit,163
negative	part,163
compulsive	painter,163
portable	cot,163
nice	eat,162
magnificent	piazza,162
lovely	views,161
amazing	moment,161
lovely	bellman,160
cold	cereal,160
delightful	location,160
unpleasant	experiences,160
disrespectful	display,160
sincere	belief,160
classic	room,158
great	anticipation,157
delightful	pastries,157
excellent	views,156
difficult	time,153
romantic	travel,153
wonderful	reviews,152
personalized	attention,152
sweet	anticipation,152
modern	architecture,152
sharp	contrast,152
inclement	location,152
nice	surprise,148
fabulous	weekend,147
quiet	side,145
quiet	neighborhood,145
bright	room,144
terrific	roman,144
great	sound,143
interesting	shops,143
stylish	manor,143
soft	drinks,141
worst	snowfall,141
best	pal,139
wonderful	dinner,139
hot	selection,139
dedicated	staff,138
fabulous	shower,138
lovely	property,138
top	value,136
delightful	piazza,136
quiet	seat,136
unforgettable	time,136
efficient	ac,136
charming	roof,136
good	standard,135
great	trip,134
great	restaurents,134
spotless	clean,134
amazing	language,134
lovely	group,134
perfect	food,134
great	cafe,131
right	information,131
lovely	mauro,131
reasonable	room,130
spectacular	room,130
wonderful	breakfast,130
stunning	location,129
great	sights,129
good	places,128
famous	breakfast,127
decent	people,126
amazing	breakfast,126
hot	breakfast,126
good	toiletries,126
good	management,126
genuine	fresco,125
bad	food,124
exquisite	location,124
good	items,124
luxurious	room,123
best	locations,123
top	lounge,122
popular	places,122
wonderful	bar,122
good	locality,122
wrong	room,122
hot	august,122
impressive	online,122
majestic	pantheon,120
wonderful	vacation,120
expensive	side,119
overdue	letter,119
fine	establishment,119
good	intentions,119
right	turn,119
good	humor,119
fist	floor,117
good	cafes,117
happy	hour,117
perfect	holiday,115
popular	sites,115
super	wide-angle,115
immense	sense,115
excellent	drinks,115
