mysterious	hairs,3
helpful	whenever,3
satisfactory	resolution,3
filthy	room,85
tired	legs,3
obnoxious	staff,5
unpleasant	odor,5
super	low,5
cheap	theatre,3
great	time,133
cheap	dining,5
cheap	hotels,37
stronger	antihistamines,3
poor	drainage,3
sub-par	room,3
cold	air,21
easy	reach,6
unhelpful	staff,16
funny	character,3
amazing	nyc,3
clean	apart,3
reasonable	location,3
lousy	staff,3
worth	anything,3
perfect	base,3
memorable	part,5
bad	films,5
noise	issues,3
awful	smell,23
great	welcome,5
unclean	bath,5
good	gastro,3
great	job,8
noisy	time,3
grim	fascination,3
dangerous	light,3
easy	stroll,3
sad	shadow,3
fun	room,5
great	customer,5
bad	joke,3
good	meal,3
appalling	condition,3
severe	lack,5
best	travel,5
lengthy	day,5
unhelpful	reception,3
comfortable	atmosphere,5
enough	profit,5
dark	evenings,3
cold	i,5
nice	pays,5
rude	staff,31
panoramic	views,5
better	hostels,6
free	mice,5
clean	altho,5
false	names,5
good	customer,11
broken	sofa,5
swipe	card,9
odd	stains,3
cute	aswell,5
fair	quality,6
worse	dirty,3
super	cold,5
bad	name,5
interesting	fact,5
limited	grasp,5
fine	nothing,3
good	travel,8
free	i,5
poor	girls,5
dark	dungeon,3
better	motels,5
excellent	staff,11
disappointing	time,6
healthy	food,5
delightful	whiff,5
greatest	room,8
terrible	stains,5
better	hosetls,3
bad	acid,5
negative	views,5
sharp	picture,5
modern	feeling,3
fresh	bagels,3
filthy	bath,13
best	interest,5
dead	body,50
finer	things,5
smart	boyfriend,5
worn	furniture,6
dirty	floor,6
clean	mattress,5
best	fed,6
musty	smell,10
accurate	portrayal,2
soft	chair,3
good	bye,5
modern	card,3
hot	running,5
musty	odor,10
limited	value,15
decent	people,5
bug	bites,15
hot	location,3
wrong	yes,5
bright	balloons,5
weird	smells,15
available	room,23
quiet	location,9
best	burritos,5
fortunate	customers,3
great	spot,5
suspicious	characters,5
top	floor,41
rude	woman,5
bad	surprises,8
innovative	technique,5
cheap	alcohol,3
trash	overflowing,3
stressful	time,5
enough	floor,3
tired	children,3
leaking	toilet,5
stupid	combination,5
poor	staff,28
right	across,3
best	selling,5
good	bed,3
quiet	life,3
nice	chaps,5
good	reception,5
dead	roaches,5
viewable	channels,5
rough	edges,3
cheap	hostels,6
dull	neighborhood,3
like	mosquito,5
hot	plates,3
comfortable	at,3
beautiful	room,5
affordable	lodging,5
nice	travel,6
frugal	time,3
affectionate	name,5
broken	lifts,3
worst	excuse,3
best	feature,3
friendly	employers,3
cheapest	travelodge,3
good	depending,5
seasoned	traveler,10
fast	access,3
mediocre	room,3
unusual	use,5
worst	travel,6
crack	pipe-,3
rapid	turnaround,3
great	option,3
clean	carpets,3
perfect	room,38
great	facilities,3
romantic	room,5
lucky	i,3
horrible	reviews,23
right	underneath,3
fresh	coat,5
soft	towels,3
ready	cause,5
poorly	lit,14
bad	travel,3
spacious	room,15
bad	at,5
lively	discussion,3
amazing	eat,3
good	option,25
bad	hostel,5
bad	state,16
cheapest	train,5
great	stores,5
warm	water,41
good	feeling,6
nice	food,19
unfinished	plumbing,5
comfortable	king,8
nice	chinese,5
weird	angle,3
nice	guy,10
antiquated	i,5
friendly	internet,3
expensive	room,46
rubbish	sat,5
pleasant	stat,3
filthy	hands,5
odd	wall,5
nicer	accomdation,3
dirty	blood,5
dirty	tissue,5
good	pick,5
hot	drinks,20
reasonable	cheep,5
popular	destinations,3
false	impression,3
good	hotels,11
quiet	section,3
happy	staff,5
incredible	value,3
worst	bath,5
helpful	receptionist,3
loud	bang,5
warm	towel,3
perfect	spot,3
leaking	water,5
interesting	sideline,3
bad	experiences,9
clean	-nice,3
awesome	internet,5
nice	b,3
good	lick,3
uneventful	time,3
adequate	bed,3
cold	wet,3
good	nights,24
comfortable	nights,5
fresh	cup,3
blind	person,3
negative	location,5
nice	decoration,5
soft	bed,3
brilliant	location,9
outrages	value,3
enough	dust,3
nasty	bug,5
convenient	room,6
flattering	comments,3
top	bath,3
avid	world,3
weird	marks,3
sweet	wrappers,3
greatest	asset,3
handy	room,3
filthy	clothes,5
weary	bodies,3
friendly	superb,3
awful	smells,8
usable	plug,5
best	bit-location,3
cheap	hostel,6
available	stairs,3
broken	a/c,5
cheap	motel,11
horrible	accomodation,3
good	time,387
great	bar,3
good	paintjob,3
fantastic	holiday,3
terrible	rating,10
enough	water,3
quiet	apart,3
horrible	room,34
upgraded	room,12
correct	floor,5
nice	visit,3
noisy	air,3
restful	time,8
cheapest	solution,5
bad	english,5
bright	orange,3
bad	location,8
attentive	staff,6
great	buzz,5
terrific	value,17
nice	touch,13
terrible	ratings,3
cold	croissants,3
disappointed	patrons,5
weird	time,5
decent	selection,3
great	hole,3
free	printer,3
fried	grease,5
filthy	walls,5
good	luck,49
spotless	clean,3
nice	room,280
excellent	connection,3
pest	problems,5
cheaper	places,3
strange	doors,2
fair	cost,3
good	cleanliness,3
like	sardines,3
shoddy	past,3
strange	vault,3
crappy	machine,3
quiet	side,3
cheap	shower,5
enough	issue,3
enough	competition,3
precious	time,5
great	deals,3
greatest	hole,5
bad	attitude,8
fine	president,5
super	power,5
noisy	grille,3
recommended	westin,5
good	directions,5
wretched	stench,5
crappy	room,16
complimentary	tea/coffee,3
consistent	levels,2
lovely	room,13
dusty	surroundings,3
better	travelodges,9
fortune	cookie,5
consistent	standard,3
desperate	need,47
recommended	room,5
cheap	weekend,3
better	room,212
safe	side,15
broken	remote,3
top	drawer,5
modern	furniture,3
amazing	location,45
better	choice/value,3
helpful	advice,5
unfortunate	adventure,5
dirty	glass,6
excellent	option,5
spotless	towels,3
good	sense,5
stale	smell,3
heroic	invention,3
proper	clean,10
great	locations,5
super	slow,3
good	address,3
like	kinves,3
broken	bulb,3
lumpy	bits,3
bad	points,6
odd	person/people,3
nice	ny,5
nice	eat,11
crappy	motels,4
fresh	salads,3
top	downwards,3
dirty	cups,3
solid	metal,3
great	food,13
good	mood,5
grumpy	voice,3
right	description,5
cheap	rates,9
good	transportations,5
leaky	toilet,5
cheap	travel,3
hard	toi,3
enough	staff,9
soft	surface,5
cheap	prices,13
right	beside,3
clean	room,276
dead	mice,5
awful	lot,3
funny	time,21
notorious	reviews,3
itchy	rashes,5
good	tip,5
bad	experiance,5
ample	space,3
free	safety,3
disgruntled	guests,3
sloppy	neigbourhood,3
poor	excuse,19
disappointing	reading,3
dead	rat,15
nice	condition,3
pleasurable	experiences,3
clean	floor,3
rude	front,8
sensible	staff,3
cheapest	saver,3
modern	hotels,6
top	location,5
good	pizza,5
right	smack,8
amazing	time,11
uncontrolled	diarhhea,5
cheaper	n,5
bad	part,3
friendly	room,8
filthy	moldy,5
uncomfortable	nights,3
clean	freak,10
dirty	stains,3
nice	breakfast,6
desirable	conditions,5
nice	suite,3
miserable	lobby,5
appalling	conditions,3
friendly	staff,48
shady	people,15
ample	computers,3
broken	towel,3
great	recommendation,3
worst	disappointment,5
notorious	crack,5
perfect	temperature,5
broken	furniture,24
lowly	room,8
nice	restaurants,18
beautiful	location,5
entertaining	fun,3
positive	people,3
good	pubs,3
filthy	hole,3
dirty	tv,5
great	variation,3
funny	comment,5
irate	conversation,5
expensive	bit,5
free	internet,85
strange	pungent,5
gross	situations,5
uncomfortable	experiences,5
outrageous	customer,5
ample	size,6
crazy	maintenance,3
decent	shower,15
terrible	sound,5
best	travelodge,9
pleasant	receptionist,3
precious	holiday,5
negative	image,5
poor	conditions,5
dead	mouse,5
strange	people,3
dead	centre,5
sketchy	front,5
dirty	wot,3
better	hotels,36
pleasant	room,9
important	time,8
negative	people,5
poor	signal,3
good	channels,5
good	movie,5
poor	hotels,3
arrogant	woman,10
rough	estimate,3
good	bout,3
reasonable	breakfast,3
rude	man,3
rusty	metal,3
exhorbitant	value,3
severe	gastric,5
reasonable	room,3
best	advise,5
free	ferry,3
excellent	holiday,5
tidy	eat,3
poor	guy,5
pleasant	nights,3
good	mains,3
great	restuarants,5
easy	access,26
decent	tv,3
worn	dark,3
noisy	rowdy,3
poor	picture,5
decent	travelodges,3
run-down	part,3
free	stuff,5
greasy	disgrace,3
friendly	offering,3
enough	beds,11
free	plastic,5
cheap	beer,5
shady	business,5
noisy	ac,5
clean	no,3
terrible	things,5
safe	environment,5
strong	musty,5
tired	i,5
dirty	maids,5
strange	noises,3
broken	appliances,8
great	experiance,3
dirty	rads,3
hard	crusty,3
rough	toilet,3
cold	breakfast,3
horrendous	roll,3
dirty	tables,3
luxurious	room,3
top	inch,3
funny	side,5
dreary	room,3
disgusting	period,5
better	cleanliness,5
great	inconvenience,3
poor	shape,10
limited	resources,3
good	scares,5
dirty	matras,5
lucky	room,3
poorest	travelodge,3
modern	world,3
fist	fight,5
better	items,5
cool	bars,5
fast	food,9
stale	smelling,3
great	prices,5
right	reasons,3
limited	space,3
positive	experiences,3
cool	air,8
good	quality,15
suspicious	stain,5
good	guys,5
bad	reception,5
free	drinks,3
urgent	need,3
bad	condition,16
dreadful	port,2
pleasant	one,5
cold	though,5
posh	room,10
right	turn,5
nice	bottom,5
courteous	people,13
portable	light,5
illegal	activities,5
scary	feeling,5
odd	door,5
awful	etc,5
better	accomodations,10
bizarre	tale,3
unpleasant	odour,3
bad	people,5
lost	cost,3
rusty	scew,3
strange	country,3
best	person,5
horrible	customer,3
broken	metal,3
clear	water,10
saver	value,3
