important	destination,3
clear	water,17
good	downstairs,17
luxurious	property,17
good	staff,23
trash	bins,34
soft	drink,17
modest	value,17
great	concern,17
free	overall,17
positive	aspects,3
good	people,3
poor	drainage,17
greasy	bacon,3
best	lines,3
easy	reach,3
tacky	lighting,17
nice	size,54
expensive	hotels,20
crappy	location,17
limited	lighting,3
reasonable	location,20
inexpensive	room,46
free	hula,17
good	size,145
great	beach,17
awesome	hotspot,17
fast-paced	room,17
nice	buffet,17
top	down,3
noisy	a/c,17
great	show,17
cold	water,6
worse	star,17
good	time,123
enough	bags,3
nice	lobby,17
quiet	block,3
comfortable	mind,3
swankier	room,17
enough	room,26
grand	location,68
brilliant	location,3
nice	bar,3
comfortable	room,23
noisy	sounds,17
worst	wing,17
good	points,3
miserable	sods,17
clogged	sink,3
unpleasant	surprise,3
nice	bag,3
efficient	staff,17
gentle	strains,17
cold	pint,17
top	duvet,3
worn	room,3
strong	point,17
rich	peoples,17
romantic	vacation,17
rude	side,3
dilapidated	room,17
drunk	people,3
convenient	location,3
inexpensive	food,34
helpful	information,3
right	now-,17
comfortable	beds,6
hot	food,3
sorry	room,71
beautiful	garden,17
rude	room,3
better	property,17
romantic	getaway,3
stale	croissants,3
great	places,37
beautiful	island,17
good	bar,17
hot	tub,17
best	time,53
excellent	location,71
disappointing	time,20
free	desktop,17
nicest	part,3
positive	side,17
pleasant	welcome,3
hard	location,3
nice	week,17
good	fit,17
modest	charge,3
good	room,103
nice	standard,3
great	shopping,17
wonderful	experiences,17
scary	prostitutes,17
beautiful	lobby,17
luxurious	time,17
excellent	staff,17
musty	smell,17
nasty	bathrooms,17
easy	check,17
decent	bed,17
cheaper	options,3
costly	upgrade,17
musty	odor,17
enough	power,3
nice	hotels,3
nice	lanai,34
stupid	street,17
unhelpful	staff,3
better	wayi,17
poor	man,3
good	value,407
toll-free	call-,3
unhappy	couple,17
poor	customer,6
soft	towels,17
good	music,34
ingenious	medium,3
reasonable	nights,3
excellent	facility,17
ample	supplies,3
beautiful	destinitation,17
top	floor,85
quiet	location,3
terrible	nights,3
complimentary	bottle,17
odd	layout,3
excellent	heat,3
broken	television,3
excellent	pancakes,17
helpful	person,17
noise	level,17
helpful	stuff,3
negative	comments,34
great	vacation,17
affordable	quality,17
free	wi-fi,9
fresh	orange,3
fresh	leis,17
hot	water,80
blissful	days,17
nice	tub/shower,3
affordable	hotels,3
nice	bars,3
beautiful	room,68
complimentary	reveiws,3
excellent	water,17
free	offer,17
crowded	waikiki,17
expensive	item,17
overwhelming	majority,17
wonderful	info,17
great	trepidation,17
miserable	room,20
adequate	space,3
sly	solution,3
weary	heads,17
best	friend,17
noisy	bayswater,3
unbelievable	part,3
good	reviews,6
false	sense,3
severe	itching,3
expensive	luxury,17
good	water,3
clean	judging,3
farcical	response,3
comfortable	accomodation,17
best	vacations,17
fantastic	use,17
distinctive	smell,3
perfect	customer,17
memorable	one,17
hot	room,17
wonderful	room,51
cheap	breakfast,3
quiet	internet,3
limited	toiletries,3
enjoyable	re-visit,3
perfect	room,51
great	everything,3
easy	access,43
excellent	prices,3
right	next,17
positive	time,6
awful	music,17
nice	people,17
gorgeous	oceanview,17
reasonable	value,20
complimentary	services,6
spotless	room,17
lovely	lanai,17
good	location,245
unnecessary	cumbersome,3
spacious	room,20
ideal	room,34
great	breakfast,34
decent	value,51
hot	garbage,3
nice	beds,17
nice	plance,3
lovely	breeze,17
warm	water,6
nice	food,17
bad	information,17
excellent	shopping,17
fresh	plumeria,17
comfortable	king,3
good	vallue,17
terrible	reviews,34
expensive	room,51
urgent	matter,3
fine	location,17
redeeming	qualities,17
wrong	job,3
reasonable	cost,3
nice	tourist,3
great	restaurants,20
free	slices,17
free	internet/email,17
top	class,3
good	times,17
fresh	pineapple,85
reasonable	economy,3
decent	air,17
cheapest	website,17
wonderful	staff,34
lousy	room,17
pretty	convenient,17
gross	floor,17
great	music,17
wonderful	week,17
quiet	room,17
picturesque	places,17
nice	location,66
easiest	travel,3
sweet	sleaper,17
better	day,34
dark	parking,17
cold	shoulder,2
nice	breeze,17
accidental	loss,17
loud	bangs,3
best	advantage,3
nice	simple,17
cheap	toilet,3
modest	expectations,17
enough	sunbeds,17
urgent	information,3
boiling	hot,3
cold	face,17
great	travel,3
excellent	value,57
comfortable	couches,17
fresh	papaya,17
mysterious	stains,17
great	attitude,17
available	restaurants,3
cheerful	accommodation,3
lousy	a/c,17
good	facilities,3
helpful	staff,17
good	reasonable,17
unfriendly	room,17
perfect	location,37
inflated	charge,3
negative	comment,17
inexpensive	internet,2
easy	location,17
nice	areas,20
nice	steakhouse,17
dust	bunnies,17
clean	towels,43
delicious	food,17
hot	day,3
louder	conversations,3
inefficient	machines,3
false	advertising,17
nice	change,17
horrible	room,34
upgraded	room,51
vibrant	location,3
good	name,2
great	reviews,17
smooth	staff,17
cheaper	alternatives,17
terrible	staff,3
poor	english,3
best	decision,17
terrific	value,34
worst	room,77
beautiful	sights,3
nice	swimming,17
frozen	drinks,17
uncomfortable	beds,17
glamorous	room,17
bad	reception,3
free	hilo,17
useable	outlet,3
poor	staff,3
nice	room,335
good	shoppers,17
negative	reports,3
great	thats,17
good	restaraunts,17
positive	answer,3
good	solid,17
great	staff,105
worn	everything,17
expensive	waikiki,17
wonderful	weeks,17
best	feature,17
great	value,230
cold	welcoming,6
rude	staff,6
free	use,17
terrific	balcony,17
hospitable	room,17
terrible	comments,17
fresh	fruit,17
proper	parking,17
top	notch,51
nice	balconies,17
nicest	ion,3
hot	hot,3
excellent	waikiki,17
limited	dealings,17
nice	benefit,3
avid	sightseers,17
cheaper	end,3
excellent	job,3
excellent	tube,3
right	top,3
tough	i,9
sweet	sounds,17
free	breakfast,12
lovely	room,20
great	perk,17
unsafe	storage,3
great	luau,17
desperate	need,51
bad	staff,11
poor	quality,23
better	room,230
famed	international,17
great	reception,3
fair	size,17
amazing	location,102
pleasant	desk,3
thrifty	side,3
better	places,34
nice	surprise,17
great	views,34
good	part,3
best	methods,3
super	helpful,3
terrible	noise,17
top	veneer,17
great	benefits,17
wrong	information,34
great	family,17
bad	points,3
weak	air,17
excellent	room,37
craven	room,3
nice	eat,18
great	room,196
unneeded	stress,17
bad	quality,3
unfriendly	staff,17
strange	time,17
worst	part,17
delicious	breakfast,3
decent	one,3
